"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Dichanthelium implicatum","2021-06-21","KMW","S7","A",12,2,42,43.5,38.5,10,15,32,35,43,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S8","A",46,2,22,25.5,20.5,22,35,10,18,33,NA,"CS2021"
"Dichanthelium implicatum","2021-06-21","KMW","S9","A",41,2,30,32.5,28,9,19,12,27,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","20","A",16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S1","B",3,2,17,20,16,17,26,25,26,33,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S10","A",1,2,27,28,24.5,19,18,14,12,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S10","B",26,2,25.5,28,24.5,19,18,14,12,14,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S11","A",8,2,17.5,18,16,22,24,28,30,39,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S12","A",1,2,18.5,18.5,16,7,10,18,9,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S12","B",5,2,17,18.5,16,7,10,18,9,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S12","C",NA,2,17.5,18.5,16,7,10,18,9,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S13","A",0,2,27,29,24.5,7,10,12,19,11,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S13","B",2,2,25,29,24.5,7,10,12,19,11,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S14","B",17,2,24,28,23.5,15,13,20,19,19,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S15","B",5,2,35.5,38.5,33,22,21,22,26,24,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S16","A",1,2,14.5,19,14.5,19,15,23,35,37,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S17","A",1,2,41,46,41,20,30,37,54,56,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S17","B",2,2,41.5,46,41,20,30,37,54,56,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S18","A",5,2,40,44,37.5,13,32,13,23,30,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S18","B",0,2,40.5,44,37.5,13,32,13,23,30,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S19","A",1,2,47,50,45,12,21,32,27,37,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S19","B",17,2,46,50,45,12,21,32,27,37,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S2","A",7,2,16,17.5,14,17,9,15,9,12,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S2","B",4,2,15,17.5,14,17,9,15,9,12,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S20","B",12,2,20.5,22.5,19,15,19,15.5,24,43,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S21","A",0,2,48.5,53,47.5,22,19,28,21,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S21","B",0,2,47.5,53,47.5,22,19,28,21,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S22","A",23,2,42,44.5,39.5,15,18,20,18,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S22","B",10,2,40,44.5,39.5,15,18,20,18,26,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S3","A",4,2,21.5,21.5,19,7,8,8,8,23,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S3","B",24,2,20,21.5,19,7,8,8,8,23,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S4","A",6,2,14.5,15.5,14,8,9,14,21,24,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S5","A",1,2,13,13,12,17,18,24,20,21,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S6","A",1,2,19,20,16.5,17,14,20,18,16,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S6","B",24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S7","A",30,2,30,31.5,27.5,14,8,17,18,19,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S7","B",2,2,29,31.5,27.5,14,8,17,18,19,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S8","A",0,2,23,24,22.5,9,12,21,19,19,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S9","A",10,2,22,25,21.5,10,11,12,10,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","S9","B",4,2,21,25,21.5,10,11,12,10,15,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","UK1","A",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Dichanthelium implicatum","2021-06-24","KME","UK2","A",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","5","1",89,1,NA,22.4,21.5,30,40,78,70,75,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","5","2",38,1,NA,22.4,21.5,30,40,78,70,75,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","5","3",219,1,NA,22.4,21.5,30,40,78,70,75,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","6",NA,NA,1,NA,18.1,17,12,42,29,42,66,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","7","1",1,1,NA,20,19,40,53,80,70,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","7","2",97,1,NA,20,19,40,53,80,70,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","7","3",55,1,NA,20,19,40,53,80,70,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","8","1",11,1,NA,13.8,13,24,36,25,39,44,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","8","2",75,1,NA,13.8,13,24,36,25,39,44,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","8","3",42,1,NA,13.8,13,24,36,25,39,44,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","9","1",58,1,NA,16.7,16.4,24,17,35,23,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","9","2",115,1,NA,16.7,16.4,24,17,35,23,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","9","3",64,1,NA,16.7,16.4,24,17,35,23,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","10","1",22,1,NA,19.4,17.8,13,26,24,22,30,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","10","2",63,1,NA,19.4,17.8,13,26,24,22,30,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","10","3",NA,1,NA,19.4,17.8,13,26,24,22,30,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","11","1",68,1,NA,21.1,19.8,29,58,58,61,61,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","11","2",32,1,NA,21.1,19.8,29,58,58,61,61,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","11","3",149,1,NA,21.1,19.8,29,58,58,61,61,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","12","1",53,1,NA,18.3,17.1,41,31,27,39,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","12","2",9,1,NA,18.3,17.1,41,31,27,39,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","12","3",53,1,NA,18.3,17.1,41,31,27,39,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","13","1",33,1,NA,16.4,15.1,40,31,38,44,47,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","13","2",11,1,NA,16.4,15.1,40,31,38,44,47,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","13","3",18,1,NA,16.4,15.1,40,31,38,44,47,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","1",2,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","2",3,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","3",NA,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","1",0,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","2",NA,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","14","3",NA,1,NA,16.8,15.7,22,27,36,45,37,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","15","1",196,1,NA,24.5,23.1,16,40,22,31,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","15","2",28,1,NA,24.5,23.1,16,40,22,31,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","15","3",81,1,NA,24.5,23.1,16,40,22,31,28,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","16","1",72,1,NA,16.3,15.3,22,35,24,31,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","16","2",93,1,NA,16.3,15.3,22,35,24,31,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","16","3",65,1,NA,16.3,15.3,22,35,24,31,50,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","17","1",13,1,NA,29.8,28.6,22,43,48,55,60,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","17","2",20,1,NA,29.8,28.6,22,43,48,55,60,NA,"CS2021"
"Plantago lanceolata","2021-07-31","KM","17","3",5,1,NA,29.8,28.6,22,43,48,55,60,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","1","1",329,1,NA,33.5,33,8,6,6,10,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","1","2",78,1,NA,33.5,33,8,6,6,10,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","1","3",NA,1,NA,33.5,33,8,6,6,10,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","2","1",94,1,NA,22,21.5,2,9,18,14,22,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","2","2",NA,1,NA,22,21.5,2,9,18,14,22,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","2","3",NA,1,NA,22,21.5,2,9,18,14,22,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","3","1",525,1,NA,32.8,31.4,9,14,32,36,37,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","3","2",750,1,NA,32.8,31.4,9,14,32,36,37,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","3","3",NA,1,NA,32.8,31.4,9,14,32,36,37,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","4","1",27,1,NA,22.6,21.2,6,6,7,11,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","4","2",27,1,NA,22.6,21.2,6,6,7,11,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","4","3",93,1,NA,22.6,21.2,6,6,7,11,11,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","5","1",16,1,NA,38.6,36,4,3,10,9,15,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","5","2",276,1,NA,38.6,36,4,3,10,9,15,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","5","3",71,1,NA,38.6,36,4,3,10,9,15,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","6","1",94,1,NA,34.1,31.5,7,5,7,8,9,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","6","2",77,1,NA,34.1,31.5,7,5,7,8,9,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","6","3",79,1,NA,34.1,31.5,7,5,7,8,9,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","7","1",13,1,NA,32.7,30.4,5,11,5,8,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","7","2",97,1,NA,32.7,30.4,5,11,5,8,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","7","3",25,1,NA,32.7,30.4,5,11,5,8,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","8","1",32,1,NA,27.5,25.5,8,4,10,31,33,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","8","2",177,1,NA,27.5,25.5,8,4,10,31,33,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","8","3",42,1,NA,27.5,25.5,8,4,10,31,33,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","9","1",23,1,NA,30.9,29.1,5,3,4,10,21,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","9","2",33,1,NA,30.9,29.1,5,3,4,10,21,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","9","3",15,1,NA,30.9,29.1,5,3,4,10,21,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","10","1",31,1,NA,21.2,19.9,9,28,32,29,32,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","10","2",218,1,NA,21.2,19.9,9,28,32,29,32,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","10","3",30,1,NA,21.2,19.9,9,28,32,29,32,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","11","1",54,1,NA,32.8,31.2,12,16,15,12,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","11","2",278,1,NA,32.8,31.2,12,16,15,12,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","11","3",337,1,NA,32.8,31.2,12,16,15,12,12,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","12","1",73,1,NA,37.1,35.3,6,7,7,8,6,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","12","2",152,1,NA,37.1,35.3,6,7,7,8,6,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","12","3",88,1,NA,37.1,35.3,6,7,7,8,6,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","13","1",17,1,NA,20.4,19.5,6,4,3,7,8,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","13","2",77,1,NA,20.4,19.5,6,4,3,7,8,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","13","3",20,1,NA,20.4,19.5,6,4,3,7,8,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","14","4",27,1,NA,33.2,31,2,4,4,5,2,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","14","1",217,1,NA,33.2,31,2,4,4,5,2,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","14","2",23,1,NA,33.2,31,2,4,4,5,2,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","14","3",30,1,NA,33.2,31,2,4,4,5,2,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","15","1",72,1,NA,29.3,28.2,10,8,3,4,10,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","15","2",5,1,NA,29.3,28.2,10,8,3,4,10,NA,"CS2021"
"Plantago lanceolata","2021-08-18","FBF","15","3",7,1,NA,29.3,28.2,10,8,3,4,10,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","1",NA,NA,1,NA,28.7,26.2,7,10,10,11,9,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","2",NA,NA,1,NA,24.4,22.3,3,11,12,15,10,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","3",NA,NA,1,NA,12.6,16.8,7,6,9,11,11,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","4",NA,NA,1,NA,28,26.2,12,15,21,38,39,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","5",NA,NA,1,NA,24,22.6,6,15,11,9,15,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","6",NA,NA,1,NA,26.2,24.2,7,8,12,16,18,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","7",NA,NA,1,NA,35.2,30.7,5,15,12,23,25,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","8",NA,NA,1,NA,19.1,18,3,15,18,26,17,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","9",NA,NA,1,NA,25.9,24.4,6,12,21,43,85,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","10",NA,NA,1,NA,36.3,32.5,5,8,10,18,13,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","11",NA,NA,1,NA,24,22.5,7,4,13,12,17,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","12",NA,NA,1,NA,21.5,20,3,7,7,8,11,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","13",NA,NA,1,NA,39,36.7,5,4,10,8,12,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","14",NA,NA,1,NA,13,11.8,7,7,5,5,6,NA,"CS2021"
"Plantago lanceolata","2021-08-20","QMP","15",NA,NA,1,NA,27.9,25.8,9,8,14,15,17,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","12","A",23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","15","C",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","16","A",20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","16","B",47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","16","C",47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","20","A",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","20","B",71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","20","C",35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S1","B",24,2,22.5,24,21.5,40,71,71,67,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S1","C",18,2,22,24,21.5,40,71,71,67,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S10","A",15,2,53,55.5,52,41,54,65,75,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S10","B",69,2,54,55.5,52,41,54,65,75,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S10","C",11,2,55.5,55.5,52,41,54,65,75,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S11","A",NA,2,71,75,70.5,62,68,76,55,75,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S11","B",38,2,72.5,75,70.5,62,68,76,55,75,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S11","C",22,2,74.5,75,70.5,62,68,76,55,75,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S12","B",95,2,68,70,66,15,17,35,36,12,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S12","C",11,2,69,70,66,15,17,35,36,12,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S13","A",10,2,59.5,61,59,17,16,13,26,50,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S13","B",0,2,60,61,59,17,16,13,26,50,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S13","C",25,2,61,61,59,17,16,13,26,50,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S14","A",18,2,74,78,72.5,24,48,64,60,58,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S14","B",NA,2,76.5,78,72.5,24,48,64,60,58,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S14","C",9,2,77,78,72.5,24,48,64,60,58,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S15","A",25,2,108,111,106,111,111,117,110,125,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S15","B",26,2,109,111,106,111,111,117,110,125,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S17","A",169,2,63,64.5,62,39,62,83,86,55,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S17","B",19,2,63,64.5,62,39,62,83,86,55,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S17","C",199,2,64.5,64.5,62,39,62,83,86,55,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S18","A",83,2,43.5,45,43,53,79,88,138,115,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S18","B",31,2,44,45,43,53,79,88,138,115,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S18","C",11,2,44.5,45,43,53,79,88,138,115,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S18","D",53,2,44.5,45,43,53,79,88,138,115,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S19","B",9,2,91,94.5,87.5,34,40,87,89,32,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S19","C",0,2,94,94.5,87.5,34,40,87,89,32,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S2","A",16,2,59.5,60.5,59,10,73,54,100,100,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S2","B",12,2,59.5,60.5,59,10,73,54,100,100,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S2","C",7,2,59.5,60.5,59,10,73,54,100,100,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S3","A",55,2,59.5,63.5,59,55,60,51,87,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S3","B",92,2,61,63.5,59,55,60,51,87,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S3","C",20,2,62.5,63.5,59,55,60,51,87,88,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S4","A",13,2,85,90,84,18,16,30,76,62,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S4","B",22,2,87,90,84,18,16,30,76,62,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S4","C",69,2,87,90,84,18,16,30,76,62,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S4","D",25,2,89,90,84,18,16,30,76,62,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S5","A",34,2,71.5,73.5,70,16,12,16,88,89,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S5","B",36,2,72,73.5,70,16,12,16,88,89,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S5","C",14,2,72.5,73.5,70,16,12,16,88,89,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S6","A",226,2,77.5,80.5,77,14,28,15,56,78,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S6","B",32,2,78.5,80.5,77,14,28,15,56,78,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S6","C",31,2,78.5,80.5,77,14,28,15,56,78,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S6","D",56,2,79,80.5,77,14,28,15,56,78,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S7","A",43,2,70.5,73.5,69,15,15,17,74,87,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S7","B",50,2,71,73.5,69,15,15,17,74,87,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S7","C",90,2,71,73.5,69,15,15,17,74,87,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S7","D",14,2,72,73.5,69,15,15,17,74,87,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S8","A",57,2,55,56.5,54.5,29,59,48,48,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S8","B",27,2,55.5,56.5,54.5,29,59,48,48,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S8","C",14,2,55.5,56.5,54.5,29,59,48,48,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S8","D",18,2,55.5,56.5,54.5,29,59,48,48,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S8","E",21,2,56,56.5,54.5,29,59,48,48,81,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S9","B",5,2,54,55.5,52.5,12,44,50,51,94,NA,"CS2021"
"Phleum pratense","2021-07-05","KME","S9","C",21,2,54.5,55.5,52.5,12,44,50,51,94,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","1","A",69,2,54,59,52,14,16,16,13,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","1","B",55,2,55,59,52,14,16,16,13,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","1","C",56,2,57,59,52,14,16,16,13,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","10","A",112,2,47.5,53.5,47,8,13,17,21,16,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","10","B",72,2,51,53.5,47,8,13,17,21,16,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","10","C",30,2,52.5,53.5,47,8,13,17,21,16,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","11","A",72,2,38,42.5,37,8,9,10,13,18,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","11","B",43,2,39,42.5,37,8,9,10,13,18,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","11","C",20,2,40.5,42.5,37,8,9,10,13,18,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","12","A",105,2,40.5,45.5,39,15,18,22,20,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","12","B",63,2,43,45.5,39,15,18,22,20,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","12","C",65,2,45,45.5,39,15,18,22,20,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","13","A",67,2,42.5,44.5,41.5,10,14,15,11,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","13","B",NA,2,41.5,44.5,41.5,10,14,15,11,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","13","C",109,2,42.5,44.5,41.5,10,14,15,11,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","14","A",33,2,54,60,53,3,14,11,17,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","14","B",26,2,56.5,60,53,3,14,11,17,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","14","C",37,2,59.5,60,53,3,14,11,17,15,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","15","A",60,2,41,47,40,15,15,23,23,25,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","15","B",75,2,43.5,47,40,15,15,23,23,25,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","15","C",111,2,46,47,40,15,15,23,23,25,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","16","A",84,2,36,38,30,22,13,25,25,12,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","16","B",20,2,32,38,30,22,13,25,25,12,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","16","C",54,2,35.5,38,30,22,13,25,25,12,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","17","A",41,2,46,47.5,41,17,23,13,7,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","17","B",10,2,45,47.5,41,17,23,13,7,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","17","C",64,2,42.5,47.5,41,17,23,13,7,14,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","18","A",40,2,37.5,43,35.5,12,13,10,16,11,NA,"CS2021"
"Setaria viridis","2021-07-16","FBF","18","B",35,2,37.5,43,35.5,12,13,10,16,11,NA,"CS2021"
